연번	등급분류필증번호	게임물명	신청자(상호)	신청일자	결정일자	결정등급	접수번호	등급분류기관
1	CC-NA-181004-001	海神大戰(해신대전)	현소프트	2018-08-21	2018-10-04	전체이용가	DG-NA-18-00376	GRAC
2	CC-NA-181004-002	워터 캐논(Water Canon)	와우어뮤즈먼트 유한회사	2018-09-07	2018-10-04	전체이용가	DG-NA-18-00398	GRAC
3	CC-NP-181004-001	시공의군주	주식회사 사이펀	2018-09-07	2018-10-04	청소년이용불가	DG-NP-18-00117	GRAC
4	CC-NP-181004-002	The MISSING -J.J 맥필드와 추억의 섬- (PC)	(주)에이치투인터렉티브	2018-09-20	2018-10-04	청소년이용불가	DG-NP-18-00126	GRAC
5	CC-NV-181004-001	The MISSING -J.J 맥필드와 추억의 섬- NINTENDO SWTICH	아크시스템웍스주식회사 아시아지점	2018-09-20	2018-10-04	청소년이용불가	DG-NV-18-00100	GRAC
6	CC-NV-181004-002	The MISSING -J.J 맥필드와 추억의 섬- PS4	아크시스템웍스주식회사 아시아지점	2018-09-20	2018-10-04	청소년이용불가	DG-NV-18-00101	GRAC
7	CC-NV-181004-003	STAY (스테이)	(주)소니인터랙티브엔터테인먼트코리아	2018-09-17	2018-10-04	청소년이용불가	DG-NV-18-00097	GRAC
8	CC-OM-181004-001	야망	주식회사 스카이라인매트릭스코리아	2018-09-14	2018-10-04	청소년이용불가	DG-OM-18-00103	GRAC
9	CC-OM-181004-002	아레나M	(주)원더피플	2018-09-18	2018-10-04	12세이용가	DG-OM-18-00105	GRAC
10	CC-OM-181004-003	굿모닝 고스톱	파프리게임즈	2018-09-27	2018-10-04	청소년이용불가	DG-OM-18-00107	GRAC
11	CC-NA-181010-001	Happy Fishing (해피피싱)	줌줌유통	2018-08-21	2018-10-10	전체이용가	DG-NA-18-00374	GRAC
12	CC-NA-181010-002	샤크월드(SharkWorld)	뉴월드시스템	2018-09-06	2018-10-10	전체이용가	DG-NA-18-00394	GRAC
13	CC-NA-181010-003	BeatSaber Arcade(비트세이버 아케이드)	(주)스코넥엔터테인먼트	2018-09-17	2018-10-10	전체이용가	DG-NA-18-00412	GRAC
14	CC-NA-181010-004	NOSTALGIA Op.2 (노스텔지어 오퍼스 2)	(주)유니아나	2018-09-20	2018-10-10	전체이용가	DG-NA-18-00415	GRAC
15	CC-NP-181010-001	폴아웃 76 (Fallout 76) PC	(주)에이치투인터렉티브	2018-09-20	2018-10-10	청소년이용불가	DG-NP-18-00125	GRAC
16	CC-NP-181010-002	당구프로	(주)안드로메다게임즈	2018-09-18	2018-10-10	청소년이용불가	DG-NP-18-00124	GRAC
17	CC-NV-181010-001	폴아웃 76 (Fallout 76) PS4	(주)에이치투인터렉티브	2018-09-20	2018-10-10	청소년이용불가	DG-NV-18-00098	GRAC
18	CC-NV-181010-002	폴아웃 76 (Fallout 76) XB1	(주)에이치투인터렉티브	2018-09-20	2018-10-10	청소년이용불가	DG-NV-18-00099	GRAC
19	CC-OM-181010-001	결전마역	(주)그라비티	2018-09-10	2018-10-10	15세이용가	DG-OM-18-00099	GRAC
20	CC-NA-181017-001	武神 Chaos (무신카오스)	진소프트	2018-09-10	2018-10-17	전체이용가	DG-NA-18-00403	GRAC
21	CC-NA-181017-002	4DX VR-RACING(VR RACING)(포디엑스 브이알-레이싱(브이알 레이싱))	씨제이포디플렉스 주식회사	2018-10-01	2018-10-17	전체이용가	DG-NA-18-00429	GRAC
22	CC-NA-181017-003	WATER SHOOT(워터 슛)	유한회사 금강레포츠	2018-10-05	2018-10-17	전체이용가	DG-NA-18-00433	GRAC
23	CC-NP-181017-001	[PC] Mad Mac (매드 맥스)	일렉트로닉아츠코리아(유)	2018-09-05	2018-10-17	청소년이용불가	DG-NP-18-00112	GRAC
24	CC-NP-181017-002	[PC] This Is the Police (디스 이즈 더 폴리스)	일렉트로닉아츠코리아(유)	2018-09-05	2018-10-17	청소년이용불가	DG-NP-18-00113	GRAC
25	CC-NP-181017-003	다크사이더스 3 (Darksiders 3) PC	(주)에이치투인터렉티브	2018-10-08	2018-10-17	청소년이용불가	DG-NP-18-00131	GRAC
26	CC-NP-181017-004	라스트킬(LastKill)	주식회사 노블게임즈	2018-10-05	2018-10-17	청소년이용불가	DG-NP-18-00129	GRAC
27	CC-NV-181017-001	The Awesome Adventures of Captain Spirit (디 어썸 어드벤처 오브 캡틴 스피릿)	(주)소니인터랙티브엔터테인먼트코리아	2018-10-04	2018-10-17	청소년이용불가	DG-NV-18-00103	GRAC
28	CC-NV-181017-002	[PS4] 저지 아이즈: 사신의 유언	주식회사 세가퍼블리싱코리아	2018-09-14	2018-10-17	청소년이용불가	DG-NV-18-00094	GRAC
29	CC-NV-181017-003	다크사이더스 3 (Darksiders 3) XB1	(주)에이치투인터렉티브	2018-10-08	2018-10-17	청소년이용불가	DG-NV-18-00105	GRAC
30	CC-NV-181017-004	다크사이더스 3 (Darksiders 3) PS4	(주)에이치투인터렉티브	2018-10-08	2018-10-17	청소년이용불가	DG-NV-18-00104	GRAC
31	CC-OM-181017-001	"플레이 맞고 - 맞고, 섯다"	주식회사 게임허브코리아	2018-09-10	2018-10-17	청소년이용불가	DG-OM-18-00098	GRAC
32	CC-OM-181017-002	모두의 고도리섯다	(주)제이에스토리	2018-09-18	2018-10-17	청소년이용불가	DG-OM-18-00104	GRAC
33	CC-OM-181017-003	미르의전설2 리부트	게임펍	2018-10-05	2018-10-17	청소년이용불가	DG-OM-18-00113	GRAC
34	CC-OM-181017-004	마종매직판타지(Mahjong Magic Fantasy)	유한책임회사 아쿠아게임즈	2018-10-04	2018-10-17	전체이용가	DG-OM-18-00111	GRAC
35	CC-OM-181017-005	Rescue my princess(레스큐 마이 프린세스)	WINDFLOW(윈드플로우)	2018-10-12	2018-10-17	전체이용가	DG-OM-18-00118	GRAC
36	CC-NA-181024-001	U.F.O CATCHER(유.에프.오 캐처)	엔터정밀	2018-09-28	2018-10-24	전체이용가	DG-NA-18-00422	GRAC
37	CC-NA-181024-002	프로젝트 카스2	주식회사 피엔아이컴퍼니	2018-10-08	2018-10-24	전체이용가	DG-NA-18-00435	GRAC
38	CC-NA-181024-003	DOZEN DEVIL(더즌 데빌)	부흥상사	2018-10-05	2018-10-24	전체이용가	DG-NA-18-00432	GRAC
39	CC-NP-181024-001	Dead Ground Arena (데드 그라운드 아레나)	(주)브릴라	2018-09-14	2018-10-24	청소년이용불가	DG-NP-18-00122	GRAC
40	CC-NP-181024-002	스텔라 홀덤(StellarHoldem)	(주)페가수스넷	2018-10-08	2018-10-24	청소년이용불가	DG-NP-18-00132	GRAC
41	CC-NP-181024-003	퀀텀포커(QuanTumPoker)	블록게임즈	2018-10-10	2018-10-24	청소년이용불가	DG-NP-18-00133	GRAC
42	CC-NP-181024-004	퀀텀바둑이(QuanTumBaduki)	블록게임즈	2018-10-10	2018-10-24	청소년이용불가	DG-NP-18-00134	GRAC
43	CC-NP-181024-005	퀀텀맞고(QuanTumMatgo)	블록게임즈	2018-10-10	2018-10-24	청소년이용불가	DG-NP-18-00135	GRAC
44	CC-NP-181024-006	The Golf Club 2019 Featuring PGA Tour (골프 클럽 2019 피쳐링 피쥐에이 투어) [PC]	테이크투인터랙티브유한회사	2018-10-11	2018-10-24	청소년이용불가	DG-NP-18-00137	GRAC
45	CC-NP-181024-007	Crackdown 3(크랙다운 3) PC	한국마이크로소프트(유)	2018-10-15	2018-10-24	청소년이용불가	DG-NP-18-00140	GRAC
46	CC-NP-181024-008	PC TOKYO GHOUL:re CALL to EXIST(도쿄구울:re CALL to EXIST)	반다이남코엔터테인먼트코리아 주식회사	2018-10-12	2018-10-24	청소년이용불가	DG-NP-18-00139	GRAC
47	CC-NP-181024-009	PC The Awesome Adventures of Captain Spirit (어썸 어드벤처 오브 캡틴 스피릿)	반다이남코엔터테인먼트코리아 주식회사	2018-10-16	2018-10-24	청소년이용불가	DG-NP-18-00142	GRAC
48	CC-NV-181024-001	FUN R1(펀 알원)	(주)아이판다코리아	2018-09-28	2018-10-24	청소년이용불가	DG-NV-18-00102	GRAC
49	CC-NV-181024-002	The Golf Club 2019 Featuring PGA Tour (골프 클럽 2019 피쳐링 피쥐에이 투어) [XB1]	테이크투인터랙티브유한회사	2018-10-11	2018-10-24	청소년이용불가	DG-NV-18-00107	GRAC
50	CC-NV-181024-003	The Golf Club 2019 Featuring PGA Tour (골프 클럽 2019 피쳐링 피쥐에이 투어) [PS4]	테이크투인터랙티브유한회사	2018-10-11	2018-10-24	청소년이용불가	DG-NV-18-00106	GRAC
51	CC-NV-181024-004	X1 The Awesome Adventures of Captain Spirit (어썸 어드벤처 오브 캡틴 스피릿)	반다이남코엔터테인먼트코리아 주식회사	2018-10-12	2018-10-24	청소년이용불가	DG-NV-18-00110	GRAC
52	CC-NV-181024-005	Crackdown 3(크랙다운 3) Xbox One	한국마이크로소프트(유)	2018-10-15	2018-10-24	청소년이용불가	DG-NV-18-00111	GRAC
53	CC-NV-181024-006	The Exorcist Legion VR (엑소시스트 리전 VR)	(주)소니인터랙티브엔터테인먼트코리아	2018-10-15	2018-10-24	청소년이용불가	DG-NV-18-00112	GRAC
54	CC-NV-181024-007	PS4 TOKYO GHOUL:re CALL to EXIST(도쿄구울:re CALL to EXIST)	반다이남코엔터테인먼트코리아 주식회사	2018-10-12	2018-10-24	청소년이용불가	DG-NV-18-00109	GRAC
55	CC-OM-181024-001	Macau Slots(마카오 슬롯)	주식회사마카오게임즈	2018-08-24	2018-10-24	청소년이용불가	DG-OM-18-00094	GRAC
56	CC-OM-181024-002	용병전사	원우이엔지(ENG)	2018-10-01	2018-10-24	전체이용가	DG-OM-18-00108	GRAC
57	CC-OM-181024-003	신비아파트 고스트헌터	(주)쓰리에프팩토리	2018-10-10	2018-10-24	12세이용가	DG-OM-18-00116	GRAC
58	CC-OM-181024-004	다크에덴M	주식회사 엔터메이트	2018-10-15	2018-10-24	청소년이용불가	DG-OM-18-00121	GRAC
59	CC-NA-181031-001	명왕	서진	2018-09-06	2018-10-31	청소년이용불가	DG-NA-18-00393	GRAC
60	CC-NA-181031-002	썬오보씨(Sun of Sea)	글로벌테크	2018-10-15	2018-10-31	전체이용가	DG-NA-18-00442	GRAC
61	CC-NA-181031-003	블루타임	글로벌테크	2018-10-16	2018-10-31	전체이용가	DG-NA-18-00444	GRAC
62	CC-NA-181031-004	슈퍼볼(SUPERBALL)	아르고(ARGO)	2018-10-19	2018-10-31	전체이용가	DG-NA-18-00450	GRAC
63	CC-NA-181031-005	OH!!CATCHME!!(오!!캐치미!!)	아임테크	2018-10-22	2018-10-31	전체이용가	DG-NA-18-00452	GRAC
64	CC-NA-181031-006	OH!!CATCHME!!2(오!!캐치미!!2)	아임테크	2018-10-22	2018-10-31	전체이용가	DG-NA-18-00453	GRAC
65	CC-NV-181031-001	Borderlands 2 VR (보더랜드 2 VR) [PS4]	테이크투인터랙티브유한회사	2018-10-11	2018-10-31	청소년이용불가	DG-NV-18-00108	GRAC
66	CC-NV-181031-002	Accounting Plus (어카운팅 플러스)	(주)소니인터랙티브엔터테인먼트코리아	2018-10-19	2018-10-31	청소년이용불가	DG-NV-18-00114	GRAC
67	CC-NV-181031-003	PlayStation®Classic (플레이스테이션 클래식)	(주)소니인터랙티브엔터테인먼트코리아	2018-10-17	2018-10-31	청소년이용불가	DG-NV-18-00113	GRAC
68	CC-OM-181031-001	CARDRAID(카드 레이드)	장문화	2018-10-01	2018-10-31	15세이용가	DG-OM-18-00109	GRAC
69	-	베어스 볼 (Bears Ball)	(주)에프투시스템	2018-08-20	2018-10-04	청소년이용불가	DG-NA-18-00372	GRAC
70	-	리버티 팜 (Liberty Farm)	(주)에프투시스템	2018-08-20	2018-10-04	청소년이용불가	DG-NA-18-00373	GRAC
71	-	HAPPY ROLL (해피 롤)	아이팜(EYE FARM)	2018-09-05	2018-10-04	전체이용가	DG-NA-18-00392	GRAC
72	-	Melona’s Dream(메로나의 꿈)	WS시스템	2018-08-17	2018-10-10	청소년이용불가	DG-OM-18-00090	GRAC
73	-	파워카드	주식회사플레이볼	2018-09-07	2018-10-10	청소년이용불가	DG-NP-18-00116	GRAC
74	-	S씨 월드(S SEA WORLD)	에이스소프트	2018-08-21	2018-10-17	전체이용가	DG-NA-18-00377	GRAC
75	-	Rio City(리오 시티)	WS시스템	2018-08-17	2018-10-17	청소년이용불가	DG-OM-18-00091	GRAC
76	-	청룡기리턴즈	PJ전자	2018-09-13	2018-10-17	전체이용가	DG-NA-18-00408	GRAC
77	-	화룡점정 (畵龍點睛)	주식회사 퓨트로	2018-07-31	2018-10-17	청소년이용불가	DG-NA-18-00357	GRAC
78	-	거미	에스앤에스소프트	2018-09-10	2018-10-31	전체이용가	DG-NA-18-00405	GRAC
79	-	거미2.0	에스앤에스소프트	2018-09-10	2018-10-31	전체이용가	DG-NA-18-00406	GRAC
80	-	무료경마게임	조의성	2018-10-04	2018-10-31	전체이용가	DG-OM-18-00110	GRAC
81	-	HAPPY ZZANG (해피 짱)	네오파니	2018-10-01	2018-10-31	전체이용가	DG-NA-18-00430	GRAC
82	CC-NP-171011-002	알파임팩트맞고(A-ImpactMatgo)	(주) 해피소프트	2018-09-12	2018-10-10	등급취소(확정)	-	GRAC
83	CC-NP-171011-003	알파임팩트 바둑이(AImpact Baduki)	(주) 해피소프트	2018-09-12	2018-10-10	등급취소(확정)	-	GRAC
84	CC-NP-171011-004	알파임팩트 포커(AImpact Poker)	(주) 해피소프트	2018-09-12	2018-10-10	등급취소(확정)	-	GRAC
85	CC-NA-151008-004	용팔아	오륭전자	2018-09-12	2018-10-10	등급취소(확정)	-	GRAC
86	CC-NP-160714-004	적토마 맞고 (Jeoktoma Matgo)	아마루	2018-10-10	-	등급취소(예정)	-	GRAC
87	CC-NP-160714-003	적토마 바둑이 (Jeoktoma Baduki)	아마루	2018-10-10	-	등급취소(예정)	-	GRAC
88	CC-NP-160714-002	적토마 포커 (Jeoktoma Poker)	아마루	2018-10-10	-	등급취소(예정)	-	GRAC
89	CC-NA-160602-004	PongPong(퐁퐁)	한마음기획	2018-10-10	-	등급취소(예정)	-	GRAC
90	CC-NA-170622-008	골드벨	한울전자	2018-10-17	-	등급취소(예정)	-	GRAC
91	CC-NA-171206-006	하나비레이스	씽크스탑(Think Stop)	2018-10-17	-	등급취소(예정)	-	GRAC
